"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 23, 2022","14,447.54","14,525.22","14,680.57","14,446.66","226.67M","-1.41%"
"Mar 22, 2022","14,654.33","14,396.03","14,688.42","14,386.47","234.32M","1.94%"
"Mar 21, 2022","14,376.09","14,378.65","14,469.90","14,190.63","245.89M","-0.31%"
"Mar 18, 2022","14,420.08","14,065.08","14,427.06","14,014.54","565.82M","2.14%"
"Mar 17, 2022","14,118.60","13,879.08","14,125.67","13,829.13","231.68M","1.16%"
"Mar 16, 2022","13,956.79","13,634.57","13,959.02","13,476.20","332.88M","3.70%"
"Mar 15, 2022","13,458.56","13,177.14","13,487.79","13,093.15","287.42M","3.16%"
"Mar 14, 2022","13,046.64","13,246.63","13,386.67","13,021.22","272.77M","-1.92%"
"Mar 11, 2022","13,301.83","13,702.23","13,714.44","13,285.19","238.05M","-2.13%"
"Mar 10, 2022","13,591.00","13,577.84","13,633.69","13,400.83","232.77M","-1.10%"
"Mar 09, 2022","13,742.20","13,610.48","13,792.97","13,505.12","260.55M","3.58%"
"Mar 08, 2022","13,267.61","13,275.23","13,663.14","13,129.82","308.61M","-0.39%"
"Mar 07, 2022","13,319.38","13,855.48","13,876.28","13,314.68","304.17M","-3.75%"
"Mar 04, 2022","13,837.83","13,957.60","13,992.81","13,738.61","244.43M","-1.41%"
"Mar 03, 2022","14,035.21","14,335.16","14,341.12","13,965.59","230.21M","-1.46%"
"Mar 02, 2022","14,243.69","14,072.79","14,290.67","13,974.40","232.91M","1.70%"
"Mar 01, 2022","14,005.99","14,197.66","14,271.54","13,907.94","262.50M","-1.63%"
"Feb 28, 2022","14,237.81","14,058.61","14,296.60","14,010.01","306.11M","0.34%"
"Feb 25, 2022","14,189.16","13,974.83","14,190.83","13,850.95","241.48M","1.53%"
"Feb 24, 2022","13,974.67","13,069.26","13,989.10","13,069.26","376.04M","3.44%"
"Feb 23, 2022","13,509.43","14,016.94","14,035.19","13,502.58","254.43M","-2.60%"
"Feb 22, 2022","13,870.53","13,892.81","14,109.07","13,721.99","257.94M","-0.99%"
"Feb 18, 2022","14,009.54","14,209.43","14,225.72","13,918.76","265.56M","-1.14%"
"Feb 17, 2022","14,171.74","14,485.08","14,496.26","14,156.54","225.74M","-2.96%"
"Feb 16, 2022","14,603.64","14,516.67","14,644.66","14,399.39","193.07M","-0.12%"
"Feb 15, 2022","14,620.82","14,481.75","14,624.53","14,444.57","221.15M","2.47%"
"Feb 14, 2022","14,268.59","14,233.40","14,400.59","14,119.73","249.07M","0.10%"
"Feb 11, 2022","14,253.84","14,739.46","14,769.03","14,194.59","289.25M","-3.07%"
"Feb 10, 2022","14,705.64","14,770.74","15,037.08","14,636.71","258.81M","-2.33%"
"Feb 09, 2022","15,056.96","14,930.99","15,057.06","14,871.15","219.85M","2.10%"
"Feb 08, 2022","14,747.03","14,532.16","14,784.74","14,485.86","211.37M","1.21%"
"Feb 07, 2022","14,571.25","14,715.39","14,812.72","14,526.15","202.93M","-0.84%"
"Feb 04, 2022","14,694.35","14,567.53","14,832.05","14,456.22","238.13M","1.33%"
"Feb 03, 2022","14,501.11","14,692.94","14,855.45","14,474.16","307.81M","-4.22%"
"Feb 02, 2022","15,139.74","15,171.26","15,195.52","14,960.97","289.25M","0.80%"
"Feb 01, 2022","15,019.68","14,961.92","15,034.42","14,749.51","227.56M","0.60%"
"Jan 31, 2022","14,930.05","14,504.41","14,932.33","14,443.74","310.70M","3.29%"
"Jan 28, 2022","14,454.61","14,091.94","14,454.76","13,880.84","291.63M","3.22%"
"Jan 27, 2022","14,003.11","14,345.53","14,419.45","13,973.04","288.27M","-1.20%"
"Jan 26, 2022","14,172.76","14,491.41","14,645.67","14,006.40","308.35M","0.17%"
"Jan 25, 2022","14,149.12","14,233.24","14,410.13","14,033.98","279.80M","-2.48%"
"Jan 24, 2022","14,509.58","14,168.93","14,531.55","13,724.85","424.87M","0.49%"
"Jan 21, 2022","14,438.40","14,728.32","14,868.04","14,433.19","386.91M","-2.75%"
"Jan 20, 2022","14,846.46","15,178.62","15,347.49","14,833.55","243.10M","-1.34%"
"Jan 19, 2022","15,047.84","15,291.58","15,381.28","15,038.43","227.92M","-1.07%"
"Jan 18, 2022","15,210.76","15,381.70","15,446.13","15,182.96","283.98M","-2.57%"
"Jan 14, 2022","15,611.59","15,397.05","15,617.18","15,397.05","214.63M","0.75%"
"Jan 13, 2022","15,495.62","15,969.14","15,990.38","15,468.57","219.54M","-2.57%"
"Jan 12, 2022","15,905.10","15,953.60","16,016.96","15,816.47","192.03M","0.38%"
"Jan 11, 2022","15,844.12","15,581.70","15,845.97","15,499.24","214.56M","1.47%"
"Jan 10, 2022","15,614.43","15,384.73","15,627.33","15,166.17","280.30M","0.14%"
"Jan 07, 2022","15,592.19","15,772.82","15,834.37","15,528.81","212.41M","-1.10%"
"Jan 06, 2022","15,765.36","15,676.24","15,900.60","15,611.21","229.71M","-0.04%"
"Jan 05, 2022","15,771.78","16,190.38","16,248.09","15,767.13","257.12M","-3.12%"
"Jan 04, 2022","16,279.73","16,513.13","16,513.13","16,153.27","240.88M","-1.35%"
"Jan 03, 2022","16,501.77","16,396.53","16,504.06","16,306.64","199.49M","1.11%"
"Dec 31, 2021","16,320.08","16,410.63","16,464.60","16,317.34","144.57M","-0.66%"
"Dec 30, 2021","16,429.10","16,483.02","16,569.62","16,415.31","125.20M","-0.38%"
"Dec 29, 2021","16,491.01","16,512.31","16,548.84","16,396.65","133.01M","0.01%"
"Dec 28, 2021","16,488.66","16,604.88","16,605.62","16,458.48","136.17M","-0.48%"
"Dec 27, 2021","16,567.50","16,361.72","16,567.50","16,361.72","154.50M","1.59%"
"Dec 23, 2021","16,308.21","16,206.15","16,360.67","16,188.45","164.08M","0.79%"
"Dec 22, 2021","16,180.14","15,961.65","16,185.28","15,947.78","166.08M","1.21%"
"Dec 21, 2021","15,986.28","15,790.55","15,997.46","15,618.23","209.75M","2.29%"
